Clock frequency is approx. 3023.9 MHz
Memory mountain (MB/sec)
x	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	
512m	20669	12927	10070	7037	4972	3833	3184	2759	2565	2413	2327	2243	2210	2178	2161	2164	2157	2151	2160	2146	2137	2111	2099	2114	2097	2097	2115	2111	2098	2100	2097	2102	
256m	20663	12941	10077	7030	4962	3830	3186	2761	2565	2361	2326	2244	2212	2174	2165	2166	2157	2151	2161	2148	2136	2108	2099	2124	2106	2100	2114	2116	2104	2096	2101	2104	
128m	20708	12951	10059	7053	4971	3826	3131	2709	2564	2415	2333	2253	2216	2177	2165	2163	2155	2153	2159	2149	2134	2106	2114	2115	2112	2100	2130	2106	2093	2094	2113	2106	
64m	20718	12979	10085	7055	5015	3827	3184	2759	2581	2413	2314	2254	2211	2191	2158	2181	2147	2161	2155	2126	2152	2134	2160	2220	2317	2403	2587	2738	3002	3848	4335	2106	
32m	20832	13003	10156	7105	4987	3814	3166	2745	2499	2352	2278	2194	2147	2101	2194	2164	2406	2647	3347	4779	6199	10194	15491	17069	16937	16984	16864	17271	17143	17039	16652	2100	
16m	25287	16156	13248	11001	9164	7465	6628	5951	6526	7028	7221	8023	17107	10282	11063	6298	12161	13468	13493	13813	14474	15438	16410	17191	17108	17132	17095	17222	17081	17082	16724	6069	
8m	61385	47618	34272	26003	21302	17885	15477	13567	13814	13977	13776	13483	13035	13030	13028	13073	13301	13717	13713	13884	14459	15435	16410	17113	17166	17145	17022	17177	17111	17183	16759	12271	
4m	61251	45467	33997	25721	21251	17848	15507	13584	13826	14033	13757	13475	13049	13060	13071	13005	13248	13675	13729	13816	14324	15500	16459	17181	17056	17058	17015	17236	17081	17113	16775	11862	
2m	60835	43874	33529	25429	21264	17929	15582	13493	13778	14036	13783	13460	13053	13031	13094	13365	13403	13735	13916	14249	14879	16156	16903	16494	17004	17098	16891	16917	16932	16897	16652	12065	
1024k	60743	45993	33990	26117	21466	18095	15642	13687	13981	14336	14156	14132	14024	14442	14543	14298	15523	16448	16445	16540	16946	17312	17407	17018	17346	17713	17572	17786	17865	18067	18113	11902	
512k	60481	52351	42318	32323	26340	21910	18850	16681	16910	16898	16857	17425	17484	17661	17793	16681	18179	18205	17917	18252	18235	18198	18235	18238	17949	18190	18123	18235	18131	18204	18186	15956	
256k	62353	58718	48527	36396	29116	24362	20886	18198	18292	18256	18304	18233	18310	18235	18349	18349	18179	18295	18179	18349	18235	18197	18235	18348	18306	18072	18123	17974	18137	18073	18045	17758	
128k	62241	59512	48129	36097	29111	24259	20801	18201	18122	18349	18197	18348	18310	18241	18349	18349	18172	18121	18186	18348	18234	18195	18233	17911	21363	18321	31097	17986	20959	41941	51761	17770	
64k	62026	57946	47353	36110	28888	24464	20970	18349	18121	18348	18195	18348	18321	18503	41941	18349	57709	54490	51377	55035	52414	57358	47862	52581	58708	48537	46745	52414	43510	48920	47352	17203	
32k	66725	64763	61161	58014	58800	56553	57307	45874	54490	55035	50029	52581	48537	52414	48920	34405	64745	49138	46546	55035	42119	50029	47845	45862	35056	42335	32750	39311	37933	48560	47705	34405	
16k	68811	64848	61161	61316	62698	52248	45070	45874	49138	55035	50029	45862	42335	39311	49285	46216	43463	61150	38905	55035	34686	49995	47845	45829	22007	21167	27351	39311	18950	36690	35480	34405	
