,Time,Grid size,Schedule,Threads,Write output id
0,375.684486,8000,"guided,50",1,96
1,375.684486,8000,"guided,50",1,96
2,375.684486,8000,"guided,50",1,96
3,3.359015,4000,"guided,150",32,85
4,3.359015,4000,"guided,150",32,85
5,14.491304,8000,"guided,200",64,114
6,14.491304,8000,"guided,200",64,114
7,23.169406,2000,"guided,1000",1,68
8,23.169406,2000,"guided,1000",1,68
9,3.160886,4000,"guided,50",64,74
10,14.122206,8000,"guided,150",32,109
11,14.780081,8000,"guided,50",128,99
12,5.882386,1000,"guided,1000",1,44
13,0.122564,1000,"guided,200",64,42
14,377.161905,8000,"guided,150",1,108
15,0.041340,500,"guided,1000",64,22
16,0.041340,500,"guided,1000",64,22
17,14.178114,8000,"guided,100",32,105
18,4.624216,4000,"guided,1000",64,94
19,0.041611,500,"guided,50",64,2
20,3.220247,4000,"guided,200",64,90
21,3.220247,4000,"guided,200",64,90
22,23.864483,8000,"guided,150",128,111
23,2.887873,4000,"guided,75",128,79
24,2.887873,4000,"guided,75",128,79
25,2.887873,4000,"guided,75",128,79
26,3.624279,4000,"guided,150",64,86
27,3.624279,4000,"guided,150",64,86
28,3.624279,4000,"guided,150",64,86
29,3.624279,4000,"guided,150",64,86
30,3.624279,4000,"guided,150",64,86
31,1.454285,500,"guided,100",1,8
32,1.454285,500,"guided,100",1,8
33,1.454285,500,"guided,100",1,8
34,0.055822,500,"guided,50",32,1
35,0.814784,2000,"guided,75",128,55
36,0.814784,2000,"guided,75",128,55
37,0.083885,500,"guided,100",128,11
38,0.190547,1000,"guided,75",32,29
39,0.190547,1000,"guided,75",32,29
40,0.121545,1000,"guided,75",64,30
41,0.083258,500,"guided,200",128,19
42,5.730562,1000,"guided,75",1,28
43,5.730562,1000,"guided,75",1,28
44,14.487700,8000,"guided,1000",64,118
45,14.487700,8000,"guided,1000",64,118
46,0.054619,500,"guided,1000",32,21
47,0.054619,500,"guided,1000",32,21
48,0.150201,1000,"guided,75",128,31
49,0.518287,2000,"guided,1000",128,71
50,0.518287,2000,"guided,1000",128,71
51,0.518287,2000,"guided,1000",128,71
52,0.518287,2000,"guided,1000",128,71
53,0.518287,2000,"guided,1000",128,71
54,0.041674,500,"guided,200",64,18
55,15.792486,8000,"guided,75",128,103
56,5.853274,1000,"guided,100",1,32
57,0.214845,1000,"guided,50",64,26
58,5.828165,1000,"guided,200",1,40
59,5.828165,1000,"guided,200",1,40
60,0.515225,2000,"guided,150",128,63
61,23.145579,2000,"guided,75",1,52
62,23.145579,2000,"guided,75",1,52
63,23.145579,2000,"guided,75",1,52
64,23.145579,2000,"guided,75",1,52
65,1.439617,2000,"guided,100",32,57
66,4.314509,4000,"guided,100",128,83
67,4.398044,4000,"guided,150",128,87
68,4.398044,4000,"guided,150",128,87
69,94.143097,4000,"guided,1000",1,92
70,0.149296,1000,"guided,150",128,39
71,1.429930,500,"guided,50",1,0
72,1.429930,500,"guided,50",1,0
73,1.429930,500,"guided,50",1,0
74,388.664176,8000,"guided,200",1,112
75,388.664176,8000,"guided,200",1,112
76,4.514977,4000,"guided,200",128,91
77,4.514977,4000,"guided,200",128,91
78,1.459878,500,"guided,1000",1,20
79,0.843589,2000,"guided,200",64,66
80,0.843589,2000,"guided,200",64,66
81,12.393278,1000,"guided,50",128,27
82,23.282408,8000,"guided,1000",128,119
83,3.197495,4000,"guided,50",32,73
84,0.459958,2000,"guided,1000",64,70
85,14.530283,8000,"guided,100",64,106
86,14.530283,8000,"guided,100",64,106
87,12.414453,1000,"guided,100",128,35
88,0.784670,2000,"guided,75",32,53
89,0.464423,2000,"guided,100",64,58
90,0.464423,2000,"guided,100",64,58
91,4.231035,4000,"guided,50",128,75
92,4.231035,4000,"guided,50",128,75
