,Time,Grid size,Schedule,Threads,Write output id
0,377.803724,8000,"static,50",1,96
1,3.312687,4000,"static,150",32,85
2,22.501250,8000,"static,200",64,114
3,23.451590,2000,"static,1000",1,68
4,3.971443,4000,"static,50",64,74
5,14.247705,8000,"static,150",32,109
6,22.661924,8000,"static,50",128,99
7,5.782855,1000,"static,1000",1,44
8,0.383564,1000,"static,200",64,42
9,374.480676,8000,"static,150",1,108
10,0.040567,500,"static,1000",64,22
11,14.036908,8000,"static,100",32,105
12,3.171261,4000,"static,1000",64,94
13,0.040810,500,"static,50",64,2
14,3.926536,4000,"static,200",64,90
15,14.830342,8000,"static,150",128,111
16,3.541530,4000,"static,75",128,79
17,3.154195,4000,"static,150",64,86
18,1.433923,500,"static,100",1,8
19,0.056940,500,"static,50",32,1
20,12.856593,2000,"static,75",128,55
21,0.073676,500,"static,100",128,11
22,0.190604,1000,"static,75",32,29
23,0.121639,1000,"static,75",64,30
24,0.070474,500,"static,200",128,19
25,5.857638,1000,"static,75",1,28
26,14.403611,8000,"static,1000",64,118
27,0.051778,500,"static,1000",32,21
28,0.148607,1000,"static,75",128,31
29,0.503211,2000,"static,1000",128,71
30,0.076051,500,"static,200",64,18
31,15.766033,8000,"static,75",128,103
32,5.841510,1000,"static,100",1,32
33,0.123633,1000,"static,50",64,26
34,5.858236,1000,"static,200",1,40
35,0.552366,2000,"static,150",128,63
36,23.447387,2000,"static,75",1,52
37,23.447387,2000,"static,75",1,52
38,0.739886,2000,"static,100",32,57
39,4.171384,4000,"static,100",128,83
40,3.890959,4000,"static,150",128,87
41,93.817754,4000,"static,1000",1,92
42,0.149718,1000,"static,150",128,39
43,1.460455,500,"static,50",1,0
44,375.683056,8000,"static,200",1,112
45,375.683056,8000,"static,200",1,112
46,13.066980,4000,"static,200",128,91
47,1.450630,500,"static,1000",1,20
48,0.463693,2000,"static,200",64,66
49,0.160109,1000,"static,50",128,27
50,15.294699,8000,"static,1000",128,119
51,3.446978,4000,"static,50",32,73
52,0.445595,2000,"static,1000",64,70
53,14.529528,8000,"static,100",64,106
54,12.377885,1000,"static,100",128,35
55,0.739591,2000,"static,75",32,53
56,0.443575,2000,"static,100",64,58
57,15.038014,4000,"static,50",128,75
58,24.300278,8000,"static,50",32,97
59,3.181807,4000,"static,75",32,77
60,0.452953,2000,"static,50",64,50
61,377.908783,8000,"static,1000",1,116
62,0.051923,500,"static,75",32,5
63,5.730713,1000,"static,150",1,36
64,0.738424,2000,"static,50",32,49
65,23.178048,2000,"static,100",1,56
66,375.566859,8000,"static,100",1,104
67,3.321362,4000,"static,100",32,81
68,12.326340,500,"static,150",128,15
69,12.326340,500,"static,150",128,15
70,25.963305,8000,"static,200",32,113
71,0.739215,2000,"static,1000",32,69
72,0.769505,2000,"static,150",32,61
73,5.864589,1000,"static,50",1,24
74,21.001921,8000,"static,100",128,107
75,14.187242,8000,"static,1000",32,117
76,0.374727,1000,"static,100",32,33
77,0.499954,2000,"static,200",128,67
78,1.454342,500,"static,150",1,12
79,14.525641,8000,"static,150",64,110
80,0.190729,1000,"static,150",32,37
81,0.789627,2000,"static,75",64,54
82,0.079654,500,"static,50",128,3
83,14.538888,8000,"static,75",64,102
84,376.621981,8000,"static,75",1,100
85,376.621981,8000,"static,75",1,100
86,3.148649,4000,"static,75",64,78
87,0.121538,1000,"static,150",64,38
88,1.445007,500,"static,75",1,4
89,0.054177,500,"static,150",32,13
90,0.164376,1000,"static,1000",128,47
91,0.501227,2000,"static,100",128,59
92,0.056591,500,"static,200",32,17
93,92.054551,4000,"static,150",1,84
94,0.040574,500,"static,75",64,6
95,0.079659,500,"static,75",128,7
96,0.040674,500,"static,100",64,10
97,94.083830,4000,"static,200",1,88
98,94.083830,4000,"static,200",1,88
99,94.045257,4000,"static,50",1,72
100,93.995125,4000,"static,100",1,80
101,23.629071,2000,"static,200",1,64
102,0.742189,2000,"static,200",32,65
103,4.364903,4000,"static,1000",128,95
104,23.122140,2000,"static,150",1,60
105,0.366981,1000,"static,50",32,25
106,23.330844,2000,"static,50",1,48
107,0.210920,1000,"static,100",64,34
108,0.124492,1000,"static,1000",64,46
109,0.366329,1000,"static,1000",32,45
110,0.040633,500,"static,150",64,14
111,0.040633,500,"static,150",64,14
112,0.190376,1000,"static,200",32,41
113,95.217937,4000,"static,75",1,76
114,3.151568,4000,"static,100",64,82
115,3.460463,4000,"static,200",32,89
116,0.549442,2000,"static,50",128,51
117,5.299564,1000,"static,200",128,43
118,3.393510,4000,"static,1000",32,93
119,0.442468,2000,"static,150",64,62
120,0.051851,500,"static,100",32,9
121,15.181181,8000,"static,50",64,98
122,15.181181,8000,"static,50",64,98
123,1.623937,500,"static,200",1,16
124,0.067249,500,"static,1000",128,23
125,0.067249,500,"static,1000",128,23
126,14.367960,8000,"static,75",32,101
127,23.933816,8000,"static,200",128,115
